Number,Text,Caption
12,وَ قَالَ [عليه السلام] أَعْجَزُ النَّاسِ مَنْ عَجَزَ عَنِ اكْتِسَابِ الْإِخْوَانِ وَ أَعْجَزُ مِنْهُ مَنْ ضَيَّعَ مَنْ ظَفِرَ بِهِ مِنْهُمْ .,حکمت
13,وَ قَالَ [عليه السلام] إِذَا وَصَلَتْ إِلَيْكُمْ أَطْرَافُ النِّعَمِ فَلَا تُنَفِّرُوا أَقْصَاهَا بِقِلَّةِ الشُّكْرِ .,حکمت
14,وَ قَالَ [عليه السلام] مَنْ ضَيَّعَهُ الْأَقْرَبُ أُتِيحَ لَهُ الْأَبْعَدُ .,حکمت
15,وَ قَالَ [عليه السلام] مَا كُلُّ مَفْتُونٍ يُعَاتَبُ .,حکمت
16,وَ قَالَ [عليه السلام] تَذِلُّ الْأُمُورُ لِلْمَقَادِيرِ حَتَّى يَكُونَ الْحَتْفُ فِى التَّدْبِيرِ .,حکمت
17,وَ سُئِلَ [عليه السلام] عَنْ قَوْلِ الرَّسُولِ ص غَيِّرُوا الشَّيْبَ وَ لَا تَشَبَّهُوا بِالْيَهُودِ فَقَالَ ع إِنَّمَا قَالَ ص ذَلِكَ وَ الدِّينُ قُلٌّ فَأَمَّا الْآنَ وَ قَدِ اتَّسَعَ نِطَاقُهُ وَ ضَرَبَ بِجِرَانِهِ فَامْرُؤٌ وَ مَا اخْتَارَ .,حکمت
18,وَ قَالَ [عليه السلام] فِى الَّذِينَ اعْتَزَلُوا الْقِتَالَ مَعَهُ خَذَلُوا الْحَقَّ وَ لَمْ يَنْصُرُوا الْبَاطِلَ .,حکمت
19,وَ قَالَ [عليه السلام] مَنْ جَرَى فِى عِنَان أَمَلِهِ عَثَرَ بِأَجَلِهِ .,حکمت
20,وَ قَالَ [عليه السلام] أَقِيلُوا ذَوِى الْمُرُوءَاتِ عَثَرَاتِهِمْ فَمَا يَعْثُرُ مِنْهُمْ عَاثِرٌ إِلَّا وَ يَدُ اللَّهِ بِيَدِهِ يَرْفَعُهُ .,حکمت
21,وَ قَالَ [عليه السلام] قُرِنَتِ الْهَيْبَةُ بِالْخَيْبَةِ وَ الْحَيَاءُ بِالْحِرْمَانِ وَ الْفُرْصَةُ تَمُرُّ مَرَّ السَّحَابِ فَانْتَهِزُوا فُرَصَ الْخَيْرِ .,حکمت
22,وَ قَالَ [عليه السلام] لَنَا حَقٌّ فَإِنْ أُعْطِينَاهُ وَ إِلَّا رَكِبْنَا أَعْجَازَ الْإِبِلِ وَ إِنْ طَالَ السُّرَى .,حکمت
23,وَ قَالَ [عليه السلام] مَنْ أَبْطَأَ بِهِ عَمَلُهُ لَمْ يُسْرِعْ بِهِ نَسَبُهُ .,حکمت
24,وَ قَالَ [عليه السلام] مِنْ كَفَّارَاتِ الذُّنُوبِ الْعِظَامِ إِغَاثَةُ الْمَلْهُوفِ وَ التَّنْفِيسُ عَنِ الْمَكْرُوبِ .,حکمت
25,وَ قَالَ [عليه السلام] يَا ابْنَ آدَمَ إِذَا رَأَيْتَ رَبَّكَ سُبْحَانَهُ يُتَابِعُ عَلَيْكَ نِعَمَهُ وَ أَنْتَ تَعْصِيهِ فَاحْذَرْهُ .,حکمت
26,وَ قَالَ [عليه السلام] مَا أَضْمَرَ أَحَدٌ شَيْئاً إِلَّا ظَهَرَ فِى فَلَتَاتِ لِسَانِهِ وَ صَفَحَاتِ وَجْهِهِ .,حکمت
27,وَ قَالَ [عليه السلام] امْشِ بِدَائِكَ مَا مَشَى بِكَ .,حکمت
28,وَ قَالَ [عليه السلام] أَفْضَلُ الزُّهْدِ إِخْفَاءُ الزُّهْدِ .,حکمت
29,وَ قَالَ [عليه السلام] إِذَا كُنْتَ فِى إِدْبَارٍ وَ الْمَوْتُ فِى إِقْبَالٍ فَمَا أَسْرَعَ الْمُلْتَقَى .,حکمت
30,وَ قَالَ [عليه السلام] الْحَذَرَ الْحَذَرَ فَوَاللَّهِ لَقَدْ سَتَرَ حَتَّى كَأَنَّهُ قَدْ غَفَرَ .,حکمت
31,"وَ سُئِلَ [عليه السلام] عَنِ الْإِيمَانِ فَقَالَ الْإِيمَانُ عَلَى أَرْبَعِ دَعَائِمَ عَلَى الصَّبْرِ وَ الْيَقِينِ وَ الْعَدْلِ وَ الْجِهَادِ وَ الصَّبْرُ مِنْهَا عَلَى أَرْبَعِ شُعَبٍ عَلَى الشَّوْقِ وَ الشَّفَقِ وَ الزُّهْدِ وَ التَّرَقُّبِ فَمَنِ اشْتَاقَ إِلَى الْجَنَّةِ سَلَا عَنِ الشَّهَوَاتِ وَ مَنْ أَشْفَقَ مِنَ النَّارِ اجْتَنَبَ الْمُحَرَّمَاتِ وَ مَنْ زَهِدَ فِى الدُّنْيَا اسْتَهَانَ بِالْمُصِيبَاتِ وَ مَنِ ارْتَقَبَ الْمَوْتَ سَارَعَ إِلَى الْخَيْرَاتِ وَ الْيَقِينُ مِنْهَا عَلَى أَرْبَعِ شُعَبٍ عَلَى تَبْصِرَةِ الْفِطْنَةِ وَ تَأَوُّلِ الْحِكْمَةِ وَ مَوْعِظَةِ الْعِبْرَةِ وَ سُنَّةِ الْأَوَّلِينَ فَمَنْ تَبَصَّرَ فِى الْفِطْنَةِ تَبَيَّنَتْ لَهُ الْحِكْمَةُ وَ مَنْ تَبَيَّنَتْ لَهُ الْحِكْمَةُ عَرَفَ الْعِبْرَةَ وَ مَنْ عَرَفَ الْعِبْرَةَ فَكَأَنَّمَا كَانَ فِى الْأَوَّلِينَ وَ الْعَدْلُ مِنْهَا عَلَى أَرْبَعِ شُعَبٍ عَلَى غَائِصِ الْفَهْمِ وَ غَوْرِ الْعِلْمِ وَ زُهْرَةِ الْحُكْمِ وَ رَسَاخَةِ الْحِلْمِ فَمَنْ فَهِمَ عَلِمَ غَوْرَ الْعِلْمِ وَ مَنْ عَلِمَ غَوْرَ الْعِلْمِ صَدَرَ عَنْ شَرَائِعِ الْحُكْمِ وَ مَنْ حَلُمَ لَمْ يُفَرِّطْ فِى أَمْرِهِ وَ عَاشَ فِى النَّاسِ حَمِيداً وَ الْجِهَادُ مِنْهَا عَلَى أَرْبَعِ شُعَبٍ عَلَى الْأَمْرِ بِالْمَعْرُوفِ وَ النَّهْيِ عَنِ الْمُنْكَرِ وَ الصِّدْقِ فِى الْمَوَاطِنِ وَ شَنَآنِ الْفَاسِقِينَ فَمَنْ أَمَرَ بِالْمَعْرُوفِ شَدَّ ظُهُورَ الْمُؤْمِنِينَ وَ مَنْ نَهَى عَنِ الْمُنْكَرِ أَرْغَمَ أُنُوفَ الْكَافِرِينَ وَ مَنْ صَدَقَ فِى الْمَوَاطِنِ قَضَى مَا عَلَيْهِ وَ مَنْ شَنِئَ الْفَاسِقِينَ وَ غَضِبَ لِلَّهِ غَضِبَ اللَّهُ لَهُ وَ أَرْضَاهُ يَوْمَ الْقِيَامَةِ وَ الْكُفْرُ عَلَى أَرْبَعِ دَعَائِمَ عَلَى التَّعَمُّقِ وَ التَّنَازُعِ وَ الزَّيْغِ وَ الشِّقَاقِ فَمَنْ تَعَمَّقَ لَمْ يُنِبْ إِلَى الْحَقِّ وَ مَنْ كَثُرَ نِزَاعُهُ بِالْجَهْلِ دَامَ عَمَاهُ عَنِ الْحَقِّ وَ مَنْ زَاغَ سَاءَتْ عِنْدَهُ الْحَسَنَةُ وَ حَسُنَتْ عِنْدَهُ السَّيِّئَةُ وَ سَكِرَ سُكْرَ الضَّلَالَةِ وَ مَنْ شَاقَّ وَعُرَتْ عَلَيْهِ طُرُقُهُ وَ أَعْضَلَ عَلَيْهِ أَمْرُهُ وَ ضَاقَ عَلَيْهِ مَخْرَجُهُ وَ الشَّكُّ عَلَى أَرْبَعِ شُعَبٍ عَلَى التَّمَارِى وَ الْهَوْلِ وَ التَّرَدُّدِ وَ الِاسْتِسْلَامِ
فَمَنْ جَعَلَ الْمِرَاءَ دَيْدَناً لَمْ يُصْبِحْ لَيْلُهُ وَ مَنْ هَالَهُ مَا بَيْنَ يَدَيْهِ نَكَصَ عَلَى عَقِبَيْهِ وَ مَنْ تَرَدَّدَ فِى الرَّيْبِ وَطِئَتْهُ سَنَابِكُ الشَّيَاطِينِ وَ مَنِ اسْتَسْلَمَ لِهَلَكَةِ الدُّنْيَا وَ الْآخِرَةِ هَلَكَ فِيهِمَا
قال الرضى و بعد هذا كلام تركنا ذكره خوف الإطالة و الخروج عن الغرض المقصود فى هذا الكتاب.",حکمت
32,وَ قَالَ [عليه السلام] فَاعِلُ الْخَيْرِ خَيْرٌ مِنْهُ وَ فَاعِلُ الشَّرِّ شَرٌّ مِنْهُ .,حکمت
33,وَ قَالَ [عليه السلام] كُنْ سَمْحاً وَ لَا تَكُنْ مُبَذِّراً وَ كُنْ مُقَدِّراً وَ لَا تَكُنْ مُقَتِّراً .,حکمت
34,وَ قَالَ [عليه السلام] أَشْرَفُ الْغِنَى تَرْكُ الْمُنَى .,حکمت
35,وَ قَالَ [عليه السلام] مَنْ أَسْرَعَ إِلَى النَّاسِ بِمَا يَكْرَهُونَ قَالُوا فِيهِ بِمَا لَا يَعْلَمُونَ .,حکمت
36,وَ قَالَ [عليه السلام] مَنْ أَطَالَ الْأَمَلَ أَسَاءَ الْعَمَلَ .,حکمت
37,"وَ قَالَ [عليه السلام] وَ قَدْ لَقِيَهُ عِنْدَ مَسِيرِهِ إِلَى الشَّامِ دَهَاقِينُ الْأَنْبَارِ فَتَرَجَّلُوا لَهُ وَ اشْتَدُّوا بَيْنَ يَدَيْهِ فَقَالَ
مَا هَذَا الَّذِى صَنَعْتُمُوهُ فَقَالُوا خُلُقٌ مِنَّا نُعَظِّمُ بِهِ أُمَرَاءَنَا فَقَالَ وَ اللَّهِ مَا يَنْتَفِعُ بِهَذَا أُمَرَاؤُكُمْ وَ إِنَّكُمْ لَتَشُقُّونَ عَلَى أَنْفُسِكُمْ فِى دُنْيَاكُمْ وَ تَشْقَوْنَ بِهِ فِى آخِرَتِكُمْ وَ مَا أَخْسَرَ الْمَشَقَّةَ وَرَاءَهَا الْعِقَابُ وَ أَرْبَحَ الدَّعَةَ مَعَهَا الْأَمَانُ مِنَ النَّارِ .",حکمت
38,وَ قَالَ [عليه السلام] لِابْنِهِ الْحَسَنِ [عليه السلام] يَا بُنَيَّ احْفَظْ عَنِّى أَرْبَعاً وَ أَرْبَعاً لَا يَضُرُّكَ مَا عَمِلْتَ مَعَهُنَّ إِنَّ أَغْنَى الْغِنَى الْعَقْلُ وَ أَكْبَرَ الْفَقْرِ الْحُمْقُ وَ أَوْحَشَ الْوَحْشَةِ الْعُجْبُ وَ أَكْرَمَ الْحَسَبِ حُسْنُ الْخُلُقِ يَا بُنَيَّ إِيَّاكَ وَ مُصَادَقَةَ الْأَحْمَقِ فَإِنَّهُ يُرِيدُ أَنْ يَنْفَعَكَ فَيَضُرَّكَ وَ إِيَّاكَ وَ مُصَادَقَةَ الْبَخِيلِ فَإِنَّهُ يَقْعُدُ عَنْكَ أَحْوَجَ مَا تَكُونُ إِلَيْهِ وَ إِيَّاكَ وَ مُصَادَقَةَ الْفَاجِرِ فَإِنَّهُ يَبِيعُكَ بِالتَّافِهِ وَ إِيَّاكَ وَ مُصَادَقَةَ الْكَذَّابِ فَإِنَّهُ كَالسَّرَابِ يُقَرِّبُ عَلَيْكَ الْبَعِيدَ وَ يُبَعِّدُ عَلَيْكَ الْقَرِيبَ .,حکمت
39,وَ قَالَ [عليه السلام] لَا قُرْبَةَ بِالنَّوَافِلِ إِذَا أَضَرَّتْ بِالْفَرَائِضِ .,حکمت
40,وَ قَالَ [عليه السلام] لِسَانُ الْعَاقِلِ وَرَاءَ قَلْبِهِ وَ قَلْبُ الْأَحْمَقِ وَرَاءَ لِسَانِهِ,حکمت
41,"و قد روى عنه [عليه السلام] هذا المعنى بلفظ آخر و هو قوله
قَلْبُ الْأَحْمَقِ فِى فِيهِ وَ لِسَانُ الْعَاقِلِ فِى قَلْبِهِ",حکمت
42,"وَ قَالَ [عليه السلام] لِبَعْضِ أَصْحَابِهِ فِى عِلَّةٍ اعْتَلَّهَا جَعَلَ اللَّهُ مَا كَانَ مِنْ شَكْوَاكَ حَطّاً لِسَيِّئَاتِكَ فَإِنَّ الْمَرَضَ لَا أَجْرَ فِيهِ وَ لَكِنَّهُ يَحُطُّ السَّيِّئَاتِ وَ يَحُتُّهَا حَتَّ الْأَوْرَاقِ وَ إِنَّمَا الْأَجْرُ فِى الْقَوْلِ بِاللِّسَانِ وَ الْعَمَلِ بِالْأَيْدِى وَ الْأَقْدَامِ وَ إِنَّ اللَّهَ سُبْحَانَهُ يُدْخِلُ بِصِدْقِ النِّيَّةِ وَ السَّرِيرَةِ الصَّالِحَةِ مَنْ يَشَاءُ مِنْ عِبَادِهِ الْجَنَّةَ
قال الرضى و أقول صدق ع إن المرض لا أجر فيه لأنه ليس من قبيل ما يستحق عليه العوض لأن العوض يستحق على ما كان فى مقابلة فعل الله تعالى بالعبد من الآلام و الأمراض و ما يجرى مجرى ذلك و الأجر و الثواب يستحقان على ما كان فى مقابلة فعل العبد فبينهما فرق قد بينه ع كما يقتضيه علمه الثاقب و رأيه الصائب .",حکمت
43,وَ قَالَ [عليه السلام] فِى ذِكْرِ خَبَّابِ بْنِ الْأَرَتِّ يَرْحَمُ اللَّهُ خَبَّابَ بْنَ الْأَرَتِّ فَلَقَدْ أَسْلَمَ رَاغِباً وَ هَاجَرَ طَائِعاً وَ قَنِعَ بِالْكَفَافِ وَ رَضِيَ عَنِ اللَّهِ وَ عَاشَ مُجَاهِداً .,حکمت
44,وَ قَالَ [عليه السلام] طُوبَى لِمَنْ ذَكَرَ الْمَعَادَ وَ عَمِلَ لِلْحِسَابِ وَ قَنِعَ بِالْكَفَافِ وَ رَضِيَ عَنِ اللَّهِ .,حکمت
45,وَ قَالَ [عليه السلام] لَوْ ضَرَبْتُ خَيْشُومَ الْمُؤْمِنِ بِسَيْفِى هَذَا عَلَى أَنْ يُبْغِضَنِى مَا أَبْغَضَنِى وَ لَوْ صَبَبْتُ الدُّنْيَا بِجَمَّاتِهَا عَلَى الْمُنَافِقِ عَلَى أَنْ يُحِبَّنِى مَا أَحَبَّنِى وَ ذَلِكَ أَنَّهُ قُضِيَ فَانْقَضَى عَلَى لِسَانِ النَّبِيِّ الْأُمِّيِّ ص أَنَّهُ قَالَ يَا عَلِيُّ لَا يُبْغِضُكَ مُؤْمِنٌ وَ لَا يُحِبُّكَ مُنَافِقٌ .,حکمت
46,وَ قَالَ [عليه السلام] سَيِّئَةٌ تَسُوءُكَ خَيْرٌ عِنْدَ اللَّهِ مِنْ حَسَنَةٍ تُعْجِبُكَ .,حکمت
47,وَ قَالَ [عليه السلام] قَدْرُ الرَّجُلِ عَلَى قَدْرِ هِمَّتِهِ وَ صِدْقُهُ عَلَى قَدْرِ مُرُوءَتِهِ وَ شَجَاعَتُهُ عَلَى قَدْرِ أَنَفَتِهِ وَ عِفَّتُهُ عَلَى قَدْرِ غَيْرَتِهِ .,حکمت
48,وَ قَالَ [عليه السلام] الظَّفَرُ بِالْحَزْمِ وَ الْحَزْمُ بِإِجَالَةِ الرَّأْيِ وَ الرَّأْيُ بِتَحْصِينِ الْأَسْرَارِ .,حکمت
49,وَ قَالَ [عليه السلام] احْذَرُوا صَوْلَةَ الْكَرِيمِ إِذَا جَاعَ وَ اللَّئِيمِ إِذَا شَبِعَ .,حکمت
50,وَ قَالَ [عليه السلام] قُلُوبُ الرِّجَالِ وَحْشِيَّةٌ فَمَنْ تَأَلَّفَهَا أَقْبَلَتْ عَلَيْهِ .,حکمت
51,وَ قَالَ [عليه السلام] عَيْبُكَ مَسْتُورٌ مَا أَسْعَدَكَ جَدُّكَ .,حکمت
52,وَ قَالَ [عليه السلام] أَوْلَى النَّاسِ بِالْعَفْوِ أَقْدَرُهُمْ عَلَى الْعُقُوبَةِ .,حکمت
53,وَ قَالَ [عليه السلام] السَّخَاءُ مَا كَانَ ابْتِدَاءً فَأَمَّا مَا كَانَ عَنْ مَسْأَلَةٍ فَحَيَاءٌ وَ تَذَمُّمٌ .,حکمت
54,وَ قَالَ [عليه السلام] لَا غِنَى كَالْعَقْلِ وَ لَا فَقْرَ كَالْجَهْلِ وَ لَا مِيرَاثَ كَالْأَدَبِ وَ لَا ظَهِيرَ كَالْمُشَاوَرَةِ .,حکمت
55,وَ قَالَ [عليه السلام] الصَّبْرُ صَبْرَانِ صَبْرٌ عَلَى مَا تَكْرَهُ وَ صَبْرٌ عَمَّا تُحِبُّ .,حکمت
56,وَ قَالَ [عليه السلام] الْغِنَى فِى الْغُرْبَةِ وَطَنٌ وَ الْفَقْرُ فِى الْوَطَنِ غُرْبَةٌ .,حکمت
57,وَ قَالَ [عليه السلام] الْقَنَاعَةُ مَالٌ لَا يَنْفَدُ .,حکمت
58,وَ قَالَ [عليه السلام] الْمَالُ مَادَّةُ الشَّهَوَاتِ .,حکمت
59,وَ قَالَ [عليه السلام] مَنْ حَذَّرَكَ كَمَنْ بَشَّرَكَ .,حکمت
60,وَ قَالَ [عليه السلام] اللِّسَانُ سَبُعٌ إِنْ خُلِّيَ عَنْهُ عَقَرَ .,حکمت
61,وَ قَالَ [عليه السلام] الْمَرْأَةُ عَقْرَبٌ حُلْوَةُ اللَّسْبَةِ .,حکمت
62,وَ قَالَ [عليه السلام] إِذَا حُيِّيتَ بِتَحِيَّةٍ فَحَيِّ بِأَحْسَنَ مِنْهَا وَ إِذَا أُسْدِيَتْ إِلَيْكَ يَدٌ فَكَافِئْهَا بِمَا يُرْبِى عَلَيْهَا وَ الْفَضْلُ مَعَ ذَلِكَ لِلْبَادِئِ .,حکمت
63,وَ قَالَ [عليه السلام] الشَّفِيعُ جَنَاحُ الطَّالِبِ .,حکمت
64,وَ قَالَ [عليه السلام] أَهْلُ الدُّنْيَا كَرَكْبٍ يُسَارُ بِهِمْ وَ هُمْ نِيَامٌ .,حکمت
65,وَ قَالَ [عليه السلام] فَقْدُ الْأَحِبَّةِ غُرْبَةٌ .,حکمت
66,وَ قَالَ [عليه السلام] فَوْتُ الْحَاجَةِ أَهْوَنُ مِنْ طَلَبِهَا إِلَى غَيْرِ أَهْلِهَا .,حکمت
67,وَ قَالَ [عليه السلام] لَا تَسْتَحِ مِنْ إِعْطَاءِ الْقَلِيلِ فَإِنَّ الْحِرْمَانَ أَقَلُّ مِنْهُ .,حکمت
68,وَ قَالَ [عليه السلام] الْعَفَافُ زِينَةُ الْفَقْرِ وَ الشُّكْرُ زِينَةُ الْغِنَى .,حکمت
69,وَ قَالَ [عليه السلام] إِذَا لَمْ يَكُنْ مَا تُرِيدُ فَلَا تُبَلْ مَا كُنْتَ .,حکمت
70,وَ قَالَ [عليه السلام] لَا تَرَى الْجَاهِلَ إِلَّا مُفْرِطاً أَوْ مُفَرِّطاً .,حکمت
71,وَ قَالَ [عليه السلام] إِذَا تَمَّ الْعَقْلُ نَقَصَ الْكَلَامُ .,حکمت
72,وَ قَالَ [عليه السلام] الدَّهْرُ يُخْلِقُ الْأَبْدَانَ وَ يُجَدِّدُ الْآمَالَ وَ يُقَرِّبُ الْمَنِيَّةَ وَ يُبَاعِدُ الْأُمْنِيَّةَ مَنْ ظَفِرَ بِهِ نَصِبَ وَ مَنْ فَاتَهُ تَعِبَ.,حکمت
73,وَ قَالَ [عليه السلام] مَنْ نَصَبَ نَفْسَهُ لِلنَّاسِ إِمَاماً فَلْيَبْدَأْ بِتَعْلِيمِ نَفْسِهِ قَبْلَ تَعْلِيمِ غَيْرِهِ وَ لْيَكُنْ تَأْدِيبُهُ بِسِيرَتِهِ قَبْلَ تَأْدِيبِهِ بِلِسَانِهِ وَ مُعَلِّمُ نَفْسِهِ وَ مُؤَدِّبُهَا أَحَقُّ بِالْإِجْلَالِ مِنْ مُعَلِّمِ النَّاسِ وَ مُؤَدِّبِهِمْ .,حکمت
74,وَ قَالَ [عليه السلام] نَفَسُ الْمَرْءِ خُطَاهُ إِلَى أَجَلِهِ .,حکمت
75,وَ قَالَ [عليه السلام] كُلُّ مَعْدُودٍ مُنْقَضٍ وَ كُلُّ مُتَوَقَّعٍ آتٍ .,حکمت
76,وَ قَالَ [عليه السلام] إِنَّ الْأُمُورَ إِذَا اشْتَبَهَتْ اعْتُبِرَ آخِرُهَا بِأَوَّلِهَا .,حکمت
77,وَ مِنْ خَبَرِ ضِرَارِ بْنِ حَمْزَةَ الضَّبَائِيِّ عِنْدَ دُخُولِهِ عَلَى مُعَاوِيَةَ وَ مَسْأَلَتِهِ لَهُ عَنْ أَمِيرِ الْمُؤْمِنِينَ ع وَ قَالَ فَأَشْهَدُ لَقَدْ رَأَيْتُهُ فِى بَعْضِ مَوَاقِفِهِ وَ قَدْ أَرْخَى اللَّيْلُ سُدُولَهُ وَ هُوَ قَائِمٌ فِى مِحْرَابِهِ قَابِضٌ عَلَى لِحْيَتِهِ يَتَمَلْمَلُ تَمَلْمُلَ السَّلِيمِ وَ يَبْكِى بُكَاءَ الْحَزِينِ وَ يَقُولُ يَا دُنْيَا يَا دُنْيَا إِلَيْكِ عَنِّى أَ بِى تَعَرَّضْتِ أَمْ إِلَيَّ تَشَوَّقْتِ لَا حَانَ حِينُكِ هَيْهَاتَ غُرِّى غَيْرِى لَا حَاجَةَ لِى فِيكِ قَدْ طَلَّقْتُكِ َلَاثاً لَا رَجْعَةَ فِيهَا فَعَيْشُكِ قَصِيرٌ وَ خَطَرُكِ يَسِيرٌ وَ أَمَلُكِ حَقِيرٌ آهِ مِنْ قِلَّةِ الزَّادِ وَ طُولِ الطَّرِيقِ وَ بُعْدِ السَّفَرِ وَ عَظِيمِ الْمَوْرِدِ .,حکمت
78,"وَ مِنْ كَلَامٍ لَهُ [عليه السلام] لِلسَّائِلِ الشَّامِيِّ لَمَّا سَأَلَهُ أَ كَانَ مَسِيرُنَا إِلَى الشَّامِ بِقَضَاءٍ مِنَ اللَّهِ وَ قَدَرٍ بَعْدَ كَلَامٍ طَوِيلٍ هَذَا مُخْتَارُهُ
وَيْحَكَ لَعَلَّكَ ظَنَنْتَ قَضَاءً لَازِماً وَ قَدَراً حَاتِماً لَوْ كَانَ ذَلِكَ كَذَلِكَ لَبَطَلَ الثَّوَابُ وَ الْعِقَابُ وَ سَقَطَ الْوَعْدُ وَ الْوَعِيدُ إِنَّ اللَّهَ سُبْحَانَهُ أَمَرَ عِبَادَهُ تَخْيِيراً وَ نَهَاهُمْ تَحْذِيراً وَ كَلَّفَ يَسِيراً وَ لَمْ يُكَلِّفْ عَسِيراً وَ أَعْطَى عَلَى الْقَلِيلِ كَثِيراً وَ لَمْ يُعْصَ مَغْلُوباً وَ لَمْ يُطَعْ مُكْرِهاً وَ لَمْ يُرْسِلِ الْأَنْبِيَاءَ لَعِباً وَ لَمْ يُنْزِلِ الْكُتُبَ لِلْعِبَادِ عَبَثاً وَ لَا خَلَقَ السَّمَاوَاتِ وَ الْأَرْضَ وَ مَا بَيْنَهُمَا بَاطِلًا ذلِكَ ظَنُّ الَّذِينَ كَفَرُوا فَوَيْلٌ لِلَّذِينَ كَفَرُوا مِنَ النَّارِ",حکمت
79,وَ قَالَ [عليه السلام] خُذِ الْحِكْمَةَ أَنَّى كَانَتْ فَإِنَّ الْحِكْمَةَ تَكُونُ فِى صَدْرِ الْمُنَافِقِ فَتَلَجْلَجُ فِى صَدْرِهِ حَتَّى تَخْرُجَ فَتَسْكُنَ إِلَى صَوَاحِبِهَا فِى صَدْرِ الْمُؤْمِنِ .,حکمت
80,وَ قَالَ [عليه السلام] الْحِكْمَةُ ضَالَّةُ الْمُؤْمِنِ فَخُذِ الْحِكْمَةَ وَ لَوْ مِنْ أَهْلِ النِّفَاقِ .,حکمت
81,"وَ قَالَ [عليه السلام] قِيمَةُ كُلِّ امْرِئٍ مَا يُحْسِنُهُ
قال الرضى و هى الكلمة التى لا تصاب لها قيمة و لا توزن بها حكمة و لا تقرن إليها كلمة .",حکمت
